,Time Stamp,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z, Patient ID,Unnamed: 0,Patient ID,Unnamed: 0.1,Acc_x ,Time Stamp 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, R408,,,,,
1,9.765625,0.000401,0.029091,0.025044,-6.2e-05,-0.000125,-0.000277,,,,,,
2,19.53125,0.000801,0.058182,0.050088,-0.000125,-0.00025,-0.000553,,,,,,
3,29.296875,0.001202,0.087273,0.075132,-0.000187,-0.000375,-0.00083,,,,,,
4,39.0625,0.001603,0.116364,0.100176,-0.00025,-0.0005,-0.001106,,,,,,
5,48.828125,0.002004,0.145455,0.12522,-0.000312,-0.000624,-0.001383,,,,,,
6,58.59375,0.002404,0.174546,0.150264,-0.000375,-0.000749,-0.001659,,,,,,
7,68.359375,0.002805,0.203637,0.175308,-0.000437,-0.000874,-0.001936,,,,,,
8,78.125,0.003206,0.232728,0.200352,-0.0005,-0.000999,-0.002212,,,,,,
9,87.890625,0.003606,0.261819,0.225396,-0.000562,-0.001124,-0.002489,,,,,,
10,97.65625,0.004007,0.290911,0.250439,-0.000624,-0.001249,-0.002765,,,,,,
11,107.421875,0.004408,0.320002,0.275483,-0.000687,-0.001374,-0.003042,,,,,,
12,117.1875,0.004808,0.349093,0.300527,-0.000749,-0.001499,-0.003318,,,,,,
13,126.953125,0.005209,0.378184,0.325571,-0.000812,-0.001623,-0.003595,,,,,,
14,136.71875,0.00561,0.407275,0.350615,-0.000874,-0.001748,-0.003871,,,,,,
15,146.484375,0.006011,0.436366,0.375659,-0.000937,-0.001873,-0.004148,,,,,,
16,156.25,0.006411,0.465457,0.400703,-0.000999,-0.001998,-0.004424,,,,,,
17,166.015625,0.006812,0.494548,0.425747,-0.001061,-0.002123,-0.004701,,,,,,
18,175.78125,0.007213,0.523639,0.450791,-0.001124,-0.002248,-0.004977,,,,,,
19,185.546875,0.007613,0.55273,0.475835,-0.001186,-0.002373,-0.005254,,,,,,
20,195.3125,0.008014,0.581821,0.500879,-0.001249,-0.002498,-0.00553,,,,,,
21,205.078125,0.008415,0.610912,0.525923,-0.001311,-0.002622,-0.005807,,,,,,
22,214.84375,0.008815,0.640003,0.550967,-0.001374,-0.002747,-0.006083,,,,,,
23,224.609375,0.009216,0.669094,0.576011,-0.001436,-0.002872,-0.00636,,,,,,
24,234.375,0.009617,0.698185,0.601055,-0.001499,-0.002997,-0.006636,,,,,,
25,244.140625,0.010018,0.727276,0.626099,-0.001561,-0.003122,-0.006913,,,,,,
26,253.90625,0.010418,0.756367,0.651143,-0.001623,-0.003247,-0.007189,,,,,,
27,263.671875,0.010819,0.785458,0.676187,-0.001686,-0.003372,-0.007466,,,,,,
28,273.4375,0.01122,0.81455,0.701231,-0.001748,-0.003497,-0.007742,,,,,,
